,mun_name,area,area_urban_percent,build_age_year,build_area_m2,build_rooms,build_type_com_ind_percent,build_type_mixed_percent,build_type_other_percent,build_type_res_MFH_percent,build_type_res_SFH_percent,cooling_days,dem_cool_kWh,dem_el_GWh,dem_heat_com_MWh,dem_heat_ind_MWh,dem_heat_res_MWh,electricity_price,employed_primary_percent,employed_secondary_percent,employed_tertiary_percent,employed_total,heat_fuel_air_percent,heat_fuel_electricity_percent,heat_fuel_gas_percent,heat_fuel_geo_percent,heat_fuel_oil_percent,heat_fuel_other_percent,heat_fuel_remoteheat_percent,heat_fuel_wood_percent,heat_type_boiler_percent,heat_type_electricity_percent,heat_type_heatexchanger_percent,heat_type_heatpump_percent,heat_type_other_percent,heat_type_oven_percent,heating_days,households_total,pop,pop_retired_percent,pop_working_percent,pop_young_percent,pot_el_PV_GWh,pot_el_wind_mps3,pot_en_bio_nonwood_TJ,pot_en_bio_wood_TJ,pot_he_wastewaterheat_MWh,sup_el_PV_kW,sup_el_biomass_kW,sup_el_gas_kW,sup_el_hydro_cont_kW,sup_el_hydro_div_kW,sup_el_hydro_drink_kW,sup_el_hydro_pump_kW,sup_el_hydro_store_kW,sup_el_waste_kW,sup_el_wastewater_kW,sup_el_wind_kW,vehicles_el_percent,vehicles_el_total
0,Aadorf,1994,18.1,49.40395205701328,181.97120492032428,2.0492653414001727,0.3923458149779735,0.0586453744493392,0.0016519823788546,0.1214207048458149,0.4259361233480176,57.6666664123535,67903.74265,47.4,14044.2,17619.0,53211.7,31.848,0.0333427521898841,0.4131110483187341,0.5535461994913817,3539.0,0.0203230849400729,0.0458572173006774,0.3626889004689942,0.0177175612298071,0.3934340802501302,0.0031266284523189,0.0489838457529963,0.1078686816050026,0.6717428087986463,0.0372250423011844,0.0397631133671742,0.2203891708967851,0.0,0.0308798646362098,206.8,3908.0,9359,19.2,60.4,20.4,105.45,23668.37357,48.3,62.26,11900.0,12646.11,120.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,202.0
1,Aarau,1234,49.2,60.882624621755056,212.51007025761123,3.1626887481734047,0.4091046126017486,0.0722037986132047,0.0176364184504069,0.1768164003617726,0.324238769972867,72.1999994913737,1250394.427,188.0,191666.2,15065.0,126032.7,23.587833,0.000831231368952,0.0920947030497592,0.9070740655812888,34888.0,0.0373684210526315,0.0507894736842105,0.3852631578947368,0.0142105263157894,0.4697368421052632,0.0010526315789473,0.0139473684210526,0.0276315789473684,0.7721160651096957,0.0452937013446567,0.011795234725171,0.1516867185656994,0.0002359046945034,0.0188723755602736,191.388885498047,10591.0,21773,18.2,64.4,17.4,162.37,0.0,75.84,47.26,59000.0,10699.46,760.0,0.0,19000.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,328.0
2,Aarberg,793,23.4,53.86318407960199,238.77978789769185,2.6770255271920087,0.4496932515337423,0.0687116564417178,0.0441717791411042,0.1748466257668711,0.2625766871165644,67.8166656494141,22061.57495,30.8,12760.3,17424.0,25836.7,51.601944,0.0413769123783031,0.2778164116828929,0.6808066759388038,2876.0,0.069828722002635,0.0711462450592885,0.1884057971014492,0.0039525691699604,0.5902503293807642,0.0052700922266139,0.0092226613965744,0.061923583662714,0.6663124335812965,0.0573857598299681,0.0063761955366631,0.2592986184909671,0.0,0.0106269925611052,195.616668701172,2146.0,4600,21.3,59.0,19.6,57.58,0.0,18.48,25.82,0.0,5869.12,25785.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,58.0
3,Aarburg,441,45.7,54.83811061768268,184.61707219784603,2.845321451304901,0.3866039952996474,0.0497453975714845,0.0207598903251077,0.1425773599686643,0.4003133568350959,68.08387437484,257188.6222,37.6,13630.5,3410.0,42477.2,25.76,0.0043277553375649,0.3159261396422388,0.6797461050201962,3466.0,0.0448079658605974,0.0476529160739687,0.3947368421052631,0.0170697012802275,0.4637268847795163,0.0021337126600284,0.0021337126600284,0.0277382645803698,0.753416149068323,0.0416149068322981,0.001863354037267,0.1813664596273292,0.0,0.0217391304347826,198.84928821782,3735.0,8562,14.3,65.2,20.5,60.95,0.0,32.38,14.57,22900.0,3344.19,0.0,0.0,700.0,180.0,0.0,0.0,0.0,0.0,240.0,0.0,1.6,78.0
4,Aarwangen,990,15.0,52.05824714207948,161.97030185004868,1.905144694533762,0.3691790686509841,0.0494479116658665,0.0576092174747959,0.1257801248199712,0.3979836773883821,67.4000015258789,11316.61373,20.5,6963.8,4757.0,25527.9,20.074055,0.0470809792843691,0.3578154425612053,0.5951035781544256,1593.0,0.0333670374115267,0.0495449949443882,0.0343781597573306,0.0070778564206268,0.717896865520728,0.0040444893832153,0.0121334681496461,0.1415571284125379,0.6666666666666666,0.0385220125786163,0.0094339622641509,0.2570754716981132,0.0007861635220125,0.0275157232704402,202.25,1962.0,4715,19.3,60.1,20.5,50.88,20225.98798,53.23,28.28,31400.0,4651.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,54.0
5,Abtwil,414,8.2,44.96144578313253,157.6546762589928,2.089068825910932,0.4123222748815165,0.0331753554502369,0.0165876777251184,0.1800947867298578,0.3578199052132701,63.0301465907306,0.0,3.5,1165.3,965.0,6034.6,20.6052,0.2758620689655172,0.2988505747126437,0.425287356321839,174.0,0.0326797385620915,0.0392156862745098,0.0,0.0261437908496732,0.5947712418300654,0.0196078431372549,0.0130718954248366,0.2745098039215686,0.496,0.024,0.008,0.424,0.012,0.036,194.374426083973,377.0,991,11.3,64.6,24.1,10.87,6936.555412,17.8,4.97,0.0,2530.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,20.0
6,Aclens,390,16.9,56.15576923076923,397.85664335664336,1.957142857142857,0.5400696864111498,0.0801393728222996,0.0034843205574912,0.1672473867595819,0.2090592334494773,67.7333804750443,21557.55625,18.3,7056.9,978.0,2825.0,29.1028,0.0112426035502958,0.2556213017751479,0.7331360946745562,1690.0,0.0,0.1125827814569536,0.5165562913907285,0.0198675496688741,0.271523178807947,0.0132450331125827,0.0,0.0662251655629139,0.7515923566878981,0.1019108280254777,0.0,0.0955414012738853,0.0127388535031847,0.0382165605095541,180.82194844259,217.0,518,13.9,63.3,22.8,21.46,41302.22086,8.34,7.19,0.0,450.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,24.0
7,Acquarossa,6178,3.5,74.00674404015056,77.00644963144963,1.1803194229778464,0.4182766022692425,0.0064397424103035,0.0,0.066850659306961,0.5084329960134928,23.7314813037713,1298083.633,12.7,4546.6,864.0,12721.0,27.941334,0.1121718377088305,0.1778042959427207,0.7100238663484487,838.0,0.0012755102040816,0.4247448979591837,0.0631377551020408,0.0,0.1626275510204081,0.0019132653061224,0.0146683673469387,0.3316326530612244,0.2147058823529411,0.3917647058823529,0.0123529411764705,0.0805882352941176,0.0005882352941176,0.3,246.885182698568,840.0,1827,26.3,57.0,16.7,41.4,0.0,7.48,15.59,0.0,1760.23,0.0,0.0,188.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,19.0
8,Adelboden,8762,2.5,66.72985170857511,114.07189357486556,2.449360341151386,0.4650125453024812,0.1215500418176749,0.0610538054084192,0.2536938946194592,0.0986897128519654,5.90800002261996,3568.796135,26.5,12753.5,4412.0,24237.1,31.200333,0.1464099478539911,0.2270356999598876,0.6265543521861211,2493.0,0.0155246252676659,0.0369379014989293,0.0005353319057815,0.0026766595289079,0.6322269807280514,0.006423982869379,0.012847965738758,0.2928265524625267,0.7354635935044526,0.036144578313253,0.0125720272393923,0.0403352540597171,0.0052383446830801,0.1702462022001047,300.162666625977,1471.0,3340,21.9,58.2,19.9,75.74,26910.68658,51.78,62.5,2700.0,4076.64,0.0,0.0,2250.0,1200.0,176.8,0.0,0.0,0.0,100.0,0.0,0.7,13.0
9,Adligenswil,699,23.5,41.91887226697353,158.30239374694676,2.0967479674796747,0.3007736943907156,0.0280464216634429,0.120889748549323,0.1595744680851064,0.390715667311412,60.3999996185303,63079.00806,28.1,9921.8,1797.0,33200.8,27.365036,0.0410519563822963,0.2059012187299551,0.7530468248877485,1559.0,0.0133481646273637,0.2269187986651835,0.014460511679644,0.0422691879866518,0.5305895439377085,0.0122358175750834,0.0834260289210233,0.0767519466073414,0.4138198757763975,0.1576086956521739,0.0559006211180124,0.3478260869565217,0.0062111801242236,0.0186335403726708,198.033332824707,2254.0,5442,23.3,55.1,21.7,42.57,8020.000622,18.51,21.2,0.0,3117.24,1096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,72.0
