GDENR,GDENAME,POPULATION,POPULATION_DENSITY,FOREIGN_NATIONALS_%,0_TO_19_YEARS_%,20_TO_64_YEARS_%,OVER_65_YEARS_%,PRIVATE_HOUSEHOLDS,SIZE_OF_HOUSEHOLDS_IN_PERSONS,TOTAL_SURFACE_AREA,SETTLEMENT_AND_URBAN_AREA_%,AGRICULTURAL_AREA_%,WOODED_AREA_%,UNPRODUCTIVE_AREA_%,EMPLOYED_TOTAL,EMPLOYED_PRIMARY_SECTOR,EMPLOYED_SECONDARY_SECTOR,EMPLOYED_TERTIARY_SECTOR,TOTAL_BUSINESS_ESTABLISHMENTS,BUSINESS_PRIMARY_SECTOR,BUSINESS_SECONDARY_SECTOR,BUSINESS_TERTIARY_SECTOR,DWELLING_VACANCY_RATE,NEW_HOUSING_PER_1000,SOCIAL_ASSISTANCE_RATE,Excl_Res_Building_Count,Res_Plus_Comm_Building_Count,Total_Res_Building_Count,Agri_Building_Count,Industrial_Building_Count,Comm_Building_Count,Total_Building_Count,Comm_Building_Ratio,Res_Building_Ratio,Agri_Building_Ratio,Excl_Res_Building_Area,Res_Plus_Comm_Building_Area,Total_Res_Building_Area,Agri_Building_Area,Industrial_Building_Area,Comm_Building_Area,Total_Building_Area,Comm_Area_Ratio,Res_Area_Ratio,Agri_Area_Ratio,Categroy_1020,Category_1030,Category_1040,Category_1060,AGRI,AGRI_ANIMAL,AGRI_OTHER,AGRI_PLANT,COMM_H,COMM_OTHER,HOSPITAL,HOTEL,HOTEL_TEMP,INDUSTRY,INDUSTRY_OTHER,MFH,MFH_2,MONUMENT,MUSEUM,OFFICE,OTHER,PARKING,RELIGION,RESTAURANT,RES_OTHER,SCHOOL,SFH,SHOP,SPORTS,THEATER,1919-1945,1946-1960,1961-1970,1971-1980,1981-1985,1986-1990,1991-1995,1996-2000,2001-2005,2006-2010,2011-2015,2016-present,before 1919,households_per_residential_building
2271,Meyriez,573,1685.294118,8.376963351,16.7539267,62.12914485,21.11692845,240,2.358333333,0.34,91.17647059,2.941176471,0,5.882352941,323,0,4,319,,0,,34,0,0,,193,13,206,15,9,43,273,0.1575091575091575,0.7545787545787546,0.054945054945054944,26206,2385,28591,241,130,3260,32222,0.10117311153870026,0.8873130159518342,0.007479362,193,13,4,111,0,7,7,1,0,1,1,1,0,7,1,16,21,0,0,1,42,38,1,0,0,0,169,0,1,1,16,39,26,17,23,13,5,76,15,16,3,11,30,1.165048544
5609,Rivaz,342,1103.225806,16.95906433,17.25146199,61.98830409,20.76023392,155,2.206451613,0.31,27.5862069,72.4137931,0,0,129,90,6,33,,15,,16,1.047120419,0,1.96,69,23,92,4,2,11,109,0.10091743119266056,0.8440366972477065,0.036697248,8476,4149,12625,497,140,909,14171,0.064145085,0.8909039587890762,0.035071625149954135,69,23,6,68,4,0,0,0,0,0,0,1,0,2,0,30,21,0,0,1,54,6,1,0,0,1,41,0,0,1,20,9,2,9,0,3,1,2,2,1,1,3,102,1.684782609
5883,Corseaux,2285,2135.514019,27.30853392,17.15536105,55.36105033,27.48358862,1049,2.134413727,1.07,77.57009346,21.4953271,0,0.934579439,466,34,34,398,,,11,131,3.271812081,3.072870939,2.5,470,38,508,7,14,127,656,0.19359756097560976,0.774390244,0.010670731707317074,75615,7741,83356,279,2434,10884,96953,0.11226057986859612,0.859756789,0.002877683,470,38,11,276,7,0,0,0,0,0,1,1,0,14,0,177,99,0,1,2,110,113,1,0,0,3,232,4,1,1,164,91,116,97,30,18,9,14,33,16,28,24,108,2.06496063
3215,Rorschach,9438,5302.247191,48.66497139,18.30896376,62.71455817,18.97647807,4672,1.973244863,1.78,93.22033898,6.214689266,0.564971751,0,,,1539,4164,,,118,650,3.829401089,3.716287959,3.72,808,249,1057,10,123,290,1480,0.19594594594594594,0.7141891891891892,0.006756757,132662,63049,195711,2632,59898,60703,318944,0.19032494732617639,0.6136218270291963,0.008252232,808,249,114,649,2,1,0,7,2,8,4,1,1,70,45,677,101,0,0,26,189,204,7,0,0,24,279,13,5,9,213,213,148,83,50,38,47,42,21,39,35,47,636,4.420056764
4406,Dozwil,683,525.3846154,15.51976574,22.4011713,58.27232796,19.32650073,258,2.620155039,1.3,21.25984252,77.95275591,0.787401575,0,267,23,119,125,41,7,8,26,1.034482759,4.249291785,,179,19,198,27,12,50,287,0.17421602787456447,0.6898954703832753,0.094076655,27509,6265,33774,12691,8870,6640,61975,0.10713997579669221,0.5449616780960065,0.20477611940298507,179,19,5,139,27,0,0,0,0,1,0,2,0,9,2,19,24,0,0,0,26,43,3,0,0,2,155,0,0,0,13,5,14,21,21,11,20,14,10,32,25,38,71,1.303030303
135,Kilchberg (ZH),8923,3458.527132,32.85890396,21.59587583,60.64104001,17.76308416,4044,2.18644906,2.58,74.13127413,24.32432432,1.158301158,0.386100386,4127,11,1192,2924,,,50,515,1.27528584,15.23022432,1.05,1373,92,1465,46,11,67,1589,0.042164884,0.921963499,0.028949025,255771,22873,278644,6571,14174,30981,330370,0.093776675,0.843430094,0.019889820504283076,1373,92,36,511,42,0,4,0,0,4,7,0,0,4,3,658,149,0,0,20,383,16,5,2,0,10,658,4,4,6,360,289,181,157,78,61,90,55,51,62,100,129,331,2.760409556
3238,Widnau,9756,2311.848341,28.12628126,20.76670767,63.19188192,16.04141041,4129,2.340276096,4.22,67.53554502,26.54028436,1.421800948,4.502369668,5025,16,1472,3537,687,5,159,523,2.30889935,9.294068505,1.2,2214,111,2325,43,295,378,3041,0.12430121670503123,0.7645511344952318,0.014140085498191384,316657,30711,347368,6143,162415,63842,579768,0.11011646037725435,0.599150005,0.010595617557367775,2214,111,60,978,43,0,0,0,2,1,1,7,0,113,181,321,139,0,0,38,153,290,6,0,0,10,1865,12,5,10,437,267,364,401,171,197,281,244,270,237,130,189,2,1.775913978
498,Müntschemier,1505,309.0349076,31.49501661,21.72757475,63.12292359,15.14950166,617,2.410048622,4.87,18.72427984,78.18930041,1.440329218,1.646090535,1086,102,211,773,86,22,16,48,2.993197279,20.77363897,0.64,291,78,369,81,46,98,594,0.16498316498316498,0.6212121212121212,0.13636363636363635,43980,20520,64500,57605,44796,7954,174855,0.04548912,0.36887707,0.3294443967859083,291,78,16,317,1,10,54,16,0,0,0,0,0,19,27,71,62,0,0,3,44,85,1,1,0,1,236,5,0,2,74,78,60,67,29,38,25,36,41,40,35,50,67,1.672086721
2774,Schönenbuch,1409,1043.703704,12.56210078,19.4464159,57.20369056,23.34989354,597,2.353433836,1.35,31.57894737,66.91729323,1.503759399,0,352,23,36,293,88,8,13,67,0.154559505,9.386281588,0.79,466,30,496,37,30,36,599,0.060100167,0.8280467445742905,0.061769616,46564,8152,54716,11288,12424,3633,82061,0.044271944,0.6667722791581872,0.1375562081865929,466,30,4,204,37,0,0,0,0,3,0,1,0,16,11,37,15,0,0,3,105,25,1,0,0,2,444,0,1,3,21,17,78,143,55,51,36,90,74,24,9,27,40,1.203629032
5706,Borex,1128,566.8341709,29.34397163,25.79787234,58.5106383,15.69148936,449,2.510022272,1.99,20.91836735,77.55102041,1.530612245,0,104,24,8,72,53,5,7,41,4.192872117,9.743135518,,253,16,269,37,0,55,361,0.1523545706371191,0.7451523545706371,0.10249307479224377,36429,4508,40937,13159,0,2234,56330,0.039659151429078644,0.7267353097816439,0.23360553878927748,253,16,1,141,37,0,0,0,0,0,0,0,0,0,0,32,19,0,0,2,46,53,0,0,0,0,218,0,0,0,11,10,30,82,79,48,11,7,26,17,19,11,41,1.669144981
2766,Birsfelden,10432,4139.68254,30.72277607,16.17139571,59.43251534,24.39608896,5188,1.964148034,2.52,79.45736434,0,1.550387597,18.99224806,4263,9,1552,2702,,,89,453,1.209889532,0,3.31,930,126,1056,0,246,98,1400,0.07,0.7542857142857143,0,122663,35726,158389,0,201386,43804,403579,0.10853884865168902,0.39246095559977107,0,930,126,36,879,0,0,0,0,2,22,3,3,0,90,134,550,99,0,1,20,566,24,8,0,0,16,407,9,7,10,331,402,249,90,96,43,21,46,21,35,28,25,276,4.912878788
5120,Muralto,2675,4533.898305,28.82242991,11.21495327,54.13084112,34.65420561,1499,1.738492328,0.59,93.65079365,3.174603175,1.587301587,1.587301587,,,64,1607,,,28,354,2.765321375,9.952082565,2.46,331,65,396,4,54,98,552,0.17753623188405798,0.717391304,0.007246377,75833,14094,89927,115,2077,17746,109865,0.16152550857871023,0.8185227324443636,0.001046739,331,65,47,179,4,0,0,0,3,1,1,14,1,3,50,237,54,0,0,8,20,60,5,0,0,2,106,6,1,1,127,215,54,45,27,35,10,11,11,5,8,15,41,3.785353535
2043,Sévaz,304,121.6,21.71052632,23.68421053,64.80263158,11.51315789,124,2.443548387,2.5,8.870967742,87.5,1.612903226,2.016129032,441,11,65,365,36,4,8,24,0,0,,66,8,74,11,19,19,123,0.15447154471544716,0.6016260162601627,0.089430894,9532,2561,12093,3518,40900,715,57226,0.012494320763289414,0.21132002935728514,0.061475553,66,8,8,87,1,6,4,0,0,0,0,0,0,15,4,12,9,0,0,0,23,16,1,0,0,0,53,0,2,0,8,7,13,8,13,22,2,2,14,30,7,6,14,1.675675676
5412,Rennaz,872,398.173516,29.70183486,24.19724771,60.89449541,14.90825688,373,2.337801609,2.19,31.19266055,66.51376147,1.834862385,0.458715596,706,10,108,588,71,4,15,52,5.376344086,45.07710558,5.58,109,14,123,15,20,32,190,0.16842105263157894,0.6473684210526316,0.078947368,20736,2851,23587,5754,19671,21488,70500,0.3047943262411347,0.3345673758865248,0.081617021,109,14,2,118,15,0,0,0,0,0,2,0,0,16,4,35,22,0,0,2,44,16,1,0,0,1,66,9,0,3,11,11,23,15,26,19,9,6,10,11,25,24,38,3.032520325
5722,Grens,382,149.8039216,19.37172775,24.86910995,58.37696335,16.7539267,141,2.709219858,2.55,9.019607843,89.01960784,1.960784314,0,133,30,51,52,34,6,7,21,1.307189543,2.624671916,,74,23,97,18,6,18,139,0.12949640287769784,0.697841727,0.12949640287769784,11618,5897,17515,4788,3454,660,26417,0.024983911874929023,0.6630200249839119,0.18124692432903056,74,23,1,62,18,0,0,0,0,0,0,0,0,5,1,15,17,0,0,0,19,17,0,0,0,0,65,0,0,1,12,8,9,16,9,9,8,21,9,3,5,7,29,1.453608247
6623,Le Grand-Saconnex,12275,2802.511416,41.08350306,25.28716904,59.61710794,15.09572301,4494,2.602803738,4.38,83.71559633,14.22018349,2.064220184,0,,,292,11858,,,60,638,0.412249706,9.72714533,4.41,1056,68,1124,5,47,487,1663,0.2928442573662057,0.6758869512928443,0.003006615,151517,26110,177627,466,6217,235561,419871,0.5610318407320344,0.4230513657766314,0.001109865,1056,68,26,548,5,0,0,0,7,14,6,3,2,25,8,289,61,0,0,36,18,405,5,0,0,15,774,12,4,5,85,173,212,135,90,138,83,160,127,119,78,149,103,3.998220641
2601,Solothurn,16933,2696.33758,21.31931731,15.64400874,64.05834761,20.29764365,8501,1.929537701,6.28,69.92,22.56,2.24,5.28,21592,14,2623,18955,,,164,1973,1.200895583,4.849428246,3.45,2430,465,2895,37,87,773,3792,0.20385021097046413,0.7634493670886076,0.009757384,355175,108512,463687,7218,48208,134791,653904,0.20613270449484938,0.7091056179500355,0.011038317551200176,2430,465,346,1511,24,0,4,9,20,7,9,8,0,47,33,1062,305,0,1,68,370,568,27,0,0,24,1528,28,11,38,964,774,385,307,130,174,125,148,154,162,93,52,997,2.936442142
5717,Founex,3776,788.308977,41.92266949,28.44279661,57.9184322,13.63877119,1354,2.774002954,4.79,32.21757322,65.48117155,2.30125523,0,876,74,90,712,171,8,12,151,0.319897633,2.897787144,0.45,814,87,901,32,7,353,1293,0.27300850734725446,0.6968290796597061,0.024748647,121771,19043,140814,8319,1079,24952,175164,0.142449362,0.8038980612454614,0.047492635,814,87,13,622,32,0,0,0,1,0,0,1,0,6,1,105,66,0,0,4,175,334,4,0,0,7,730,3,0,0,95,76,161,240,163,122,65,132,120,86,115,56,62,1.502774695
